municipality_code,municipality_name,state_name,service_type,year,quarter,avg_d_Mbps,avg_u_Mbps,avg_lat_ms,tests
1503101,Gurupá,Pará,fixed,2019,1,1.734,0.605,42.0,6
1503200,Igarapé-Açu,Pará,fixed,2019,1,10.645995260663511,8.676341232227488,34.92417061611374,211
1503309,Igarapé-Miri,Pará,fixed,2019,1,19.92874025974026,14.73116883116883,61.25974025974026,77
1503408,Inhangapi,Pará,fixed,2019,1,21.418269230769226,7.944076923076924,16.076923076923077,26
1503457,Ipixuna do Pará,Pará,fixed,2019,1,23.270312499999996,29.340133928571426,25.446428571428573,112
1503507,Irituia,Pará,fixed,2019,1,8.025601851851851,5.226953703703703,241.87037037037038,108
1503606,Itaituba,Pará,fixed,2019,1,8.783543010752688,8.36532795698925,72.18279569892474,186
1503705,Itupiranga,Pará,fixed,2019,1,7.535646464646464,5.120414141414141,30.949494949494948,99
1503754,Jacareacanga,Pará,fixed,2019,1,5.650714285714286,0.507,66.0,7
1503804,Jacundá,Pará,fixed,2019,1,13.901271028037382,8.816084112149532,14.934579439252337,107
1503903,Juruti,Pará,fixed,2019,1,9.288958333333333,16.302208333333336,31.875,24
1504059,Mãe do Rio,Pará,fixed,2019,1,18.940248226950352,7.291000000000001,35.56737588652482,282
1504208,Marabá,Pará,fixed,2019,1,22.271750388399795,14.9280217503884,36.68928016571724,1931
1504307,Maracanã,Pará,fixed,2019,1,0.837,0.701,32.0,2
1504406,Marapanim,Pará,fixed,2019,1,7.040636363636364,3.9630000000000005,426.6363636363636,11
1504422,Marituba,Pará,fixed,2019,1,7.6376826196473555,3.23455919395466,86.25692695214106,397
1504455,Medicilândia,Pará,fixed,2019,1,5.63075,7.6445,44.25,4
1504505,Melgaço,Pará,fixed,2019,1,2.237,1.253,88.0,3
1504604,Mocajuba,Pará,fixed,2019,1,16.64993548387097,21.67412903225806,75.2258064516129,31
1504703,Moju,Pará,fixed,2019,1,19.074199999999998,7.48952,228.76,50
