municipality_code,municipality_name,state_name,service_type,year,quarter,avg_d_Mbps,avg_u_Mbps,avg_lat_ms,tests
4207304,Imbituba,Santa Catarina,fixed,2024,1,154.83999447920502,91.02132903938167,7.044534412955466,2717
4207403,Imbuia,Santa Catarina,fixed,2024,1,99.77545086705202,81.95675722543352,13.68208092485549,173
4207502,Indaial,Santa Catarina,fixed,2024,1,203.17587066974596,136.05077713625866,7.763856812933025,1732
4207577,Iomerê,Santa Catarina,fixed,2024,1,127.80664236111109,91.8011423611111,4.791666666666667,288
4207601,Ipira,Santa Catarina,fixed,2024,1,74.81099999999999,61.830252873563225,9.82375478927203,261
4207650,Iporã do Oeste,Santa Catarina,fixed,2024,1,159.1331278195489,144.8405112781955,6.676691729323308,133
4207684,Ipuaçu,Santa Catarina,fixed,2024,1,66.71644827586206,57.3085,35.42816091954023,348
4207700,Ipumirim,Santa Catarina,fixed,2024,1,94.01553191489361,55.81214893617022,21.170212765957448,47
4207759,Iraceminha,Santa Catarina,fixed,2024,1,51.96470873786409,37.92095145631068,10.78640776699029,103
4207809,Irani,Santa Catarina,fixed,2024,1,72.24708620689655,44.74036206896552,20.0,58
4207858,Irati,Santa Catarina,fixed,2024,1,61.861583333333336,84.43375,5.0,12
4207908,Irineópolis,Santa Catarina,fixed,2024,1,30.486215568862278,24.619718562874247,21.520958083832337,167
4208005,Itá,Santa Catarina,fixed,2024,1,100.39337164750958,48.89854022988506,10.639846743295019,261
4208104,Itaiópolis,Santa Catarina,fixed,2024,1,100.13589206349208,64.98158730158731,21.46031746031746,315
4208203,Itajaí,Santa Catarina,fixed,2024,1,233.49376398227383,125.01636896393644,10.875687652811736,13088
4208302,Itapema,Santa Catarina,fixed,2024,1,170.66647945346207,130.1837325868091,5.715224984590097,9734
4208401,Itapiranga,Santa Catarina,fixed,2024,1,133.18640155038761,123.75373333333334,5.04031007751938,645
4208450,Itapoá,Santa Catarina,fixed,2024,1,144.32698701298696,90.65813194805196,5.030649350649351,1925
4208500,Ituporanga,Santa Catarina,fixed,2024,1,186.18915720524018,118.12304876273653,20.713973799126638,1374
4208609,Jaborá,Santa Catarina,fixed,2024,1,56.67209375,51.11506249999999,4.21875,32
4208708,Jacinto Machado,Santa Catarina,fixed,2024,1,165.44356593406593,113.84791208791209,4.3076923076923075,182
4208807,Jaguaruna,Santa Catarina,fixed,2024,1,147.32452258064515,102.80280762463343,4.704985337243402,1705
4208906,Jaraguá do Sul,Santa Catarina,fixed,2024,1,202.5132955333912,167.3312193191674,7.023308759757155,9224
4208955,Jardinópolis,Santa Catarina,fixed,2024,1,71.06347887323943,70.72052112676056,4.352112676056338,71
4209003,Joaçaba,Santa Catarina,fixed,2024,1,169.8796576168929,120.46408697838112,9.708396178984414,1989
4209102,Joinville,Santa Catarina,fixed,2024,1,258.78238219503464,124.12128763869455,10.900953372596232,30733
4209151,José Boiteux,Santa Catarina,fixed,2024,1,21.943625,8.3175625,127.3125,16
4209177,Jupiá,Santa Catarina,fixed,2024,1,152.3001009174312,169.1997064220184,8.568807339449542,109
4209201,Lacerdópolis,Santa Catarina,fixed,2024,1,61.546205128205145,50.55998717948718,15.076923076923077,78
4209300,Lages,Santa Catarina,fixed,2024,1,220.42888028673838,165.56124623655916,9.600358422939069,8370
4209409,Laguna,Santa Catarina,fixed,2024,1,167.69134758013828,101.37708579509744,6.22972972972973,3182
4209458,Lajeado Grande,Santa Catarina,fixed,2024,1,106.23846478873239,97.77981690140844,9.098591549295774,71
4209508,Laurentino,Santa Catarina,fixed,2024,1,184.67277486911,152.63040314136126,4.628272251308901,382
4209607,Lauro Müller,Santa Catarina,fixed,2024,1,152.95243342776206,96.49167138810198,7.609065155807365,353
4209706,Lebon Régis,Santa Catarina,fixed,2024,1,195.9300172910663,165.41309221902017,6.538904899135447,347
4209805,Leoberto Leal,Santa Catarina,fixed,2024,1,237.44460583941603,202.0793576642336,20.978102189781023,137
4209854,Lindóia do Sul,Santa Catarina,fixed,2024,1,79.57006666666666,45.1355,18.533333333333335,30
4209904,Lontras,Santa Catarina,fixed,2024,1,129.03384375,107.52166761363632,6.607954545454546,352
4210001,Luiz Alves,Santa Catarina,fixed,2024,1,114.83457142857146,77.72449237170596,10.593619972260749,721
4210035,Luzerna,Santa Catarina,fixed,2024,1,122.98374175824175,94.54936813186814,5.769230769230769,182
4210050,Macieira,Santa Catarina,fixed,2024,1,46.035961538461535,23.98219230769231,32.34615384615385,26
4210100,Mafra,Santa Catarina,fixed,2024,1,163.29406016466118,111.49402533248892,11.412919569347688,1579
4210209,Major Gercino,Santa Catarina,fixed,2024,1,90.76996268656715,88.26741791044775,24.51492537313433,134
4210308,Major Vieira,Santa Catarina,fixed,2024,1,125.92068235294117,103.35136470588235,24.294117647058822,85
4210407,Maracajá,Santa Catarina,fixed,2024,1,147.1173085106383,99.65176595744678,3.595744680851064,94
4210506,Maravilha,Santa Catarina,fixed,2024,1,167.02819626168224,131.03004556074768,2.735981308411215,856
4210555,Marema,Santa Catarina,fixed,2024,1,146.8108823529412,89.42180882352943,8.338235294117647,68
4210605,Massaranduba,Santa Catarina,fixed,2024,1,151.07988834951456,101.99714724919093,6.775080906148867,618
4210704,Matos Costa,Santa Catarina,fixed,2024,1,68.75813580246913,18.53911111111111,28.901234567901234,81
4210803,Meleiro,Santa Catarina,fixed,2024,1,122.0669475982533,102.38891266375546,5.449781659388647,229
4210852,Mirim Doce,Santa Catarina,fixed,2024,1,121.98001960784315,79.60850980392156,9.666666666666666,102
4210902,Modelo,Santa Catarina,fixed,2024,1,172.51065030674846,122.87692638036809,25.300613496932517,163
4211009,Mondaí,Santa Catarina,fixed,2024,1,128.9201935483871,95.21626612903225,3.6653225806451615,248
4211058,Monte Carlo,Santa Catarina,fixed,2024,1,145.6454081632653,136.1536394557823,4.081632653061225,147
4211108,Monte Castelo,Santa Catarina,fixed,2024,1,155.15227160493828,114.1714074074074,8.876543209876543,81
4211207,Morro da Fumaça,Santa Catarina,fixed,2024,1,169.22722242647058,126.19825919117648,4.358455882352941,544
4211256,Morro Grande,Santa Catarina,fixed,2024,1,166.4487803030303,135.03001515151513,3.621212121212121,132
4211306,Navegantes,Santa Catarina,fixed,2024,1,173.56978422804826,107.13236537661258,8.358094049105285,4806
4211405,Nova Erechim,Santa Catarina,fixed,2024,1,126.54378000000001,85.67984000000003,5.34,50
4211454,Nova Itaberaba,Santa Catarina,fixed,2024,1,87.0457265625,86.46397656250001,6.421875,128
4211504,Nova Trento,Santa Catarina,fixed,2024,1,147.44075262368818,126.87403748125936,12.548725637181409,667
4211603,Nova Veneza,Santa Catarina,fixed,2024,1,118.9289806451613,96.70173548387098,5.606451612903226,310
4211652,Novo Horizonte,Santa Catarina,fixed,2024,1,101.52429824561403,86.8300701754386,6.315789473684211,57
4211702,Orleans,Santa Catarina,fixed,2024,1,174.57557256990683,103.19096404793609,7.411451398135819,751
4211751,Otacílio Costa,Santa Catarina,fixed,2024,1,191.49419841269838,161.7721917989418,34.59391534391534,756
4211801,Ouro,Santa Catarina,fixed,2024,1,118.44545887445888,67.4735974025974,7.857142857142857,231
4211850,Ouro Verde,Santa Catarina,fixed,2024,1,60.81349999999999,27.758038461538465,22.923076923076923,26
4211876,Paial,Santa Catarina,fixed,2024,1,115.45768421052631,80.20173684210526,14.052631578947368,38
4211892,Painel,Santa Catarina,fixed,2024,1,58.9925238095238,23.020904761904756,48.857142857142854,42
4211900,Palhoça,Santa Catarina,fixed,2024,1,220.0110768206039,137.49201472764952,7.73149792776791,13512
4212007,Palma Sola,Santa Catarina,fixed,2024,1,213.5462448275862,188.44202068965518,5.320689655172414,290
4212056,Palmeira,Santa Catarina,fixed,2024,1,162.08814965986397,158.3434217687075,63.795918367346935,147
4212106,Palmitos,Santa Catarina,fixed,2024,1,114.26108966861598,73.47414424951266,8.722222222222221,1026
4212205,Papanduva,Santa Catarina,fixed,2024,1,157.43085046728973,131.59194392523364,4.654205607476635,321
4212239,Paraíso,Santa Catarina,fixed,2024,1,66.43487931034483,50.940965517241374,5.482758620689655,58
4212254,Passo de Torres,Santa Catarina,fixed,2024,1,183.1889558450959,136.9930600796236,3.2077452044878756,2763
4212270,Passos Maia,Santa Catarina,fixed,2024,1,132.58435294117646,99.8051568627451,27.41176470588235,51
4212304,Paulo Lopes,Santa Catarina,fixed,2024,1,160.12301834862384,110.74654587155963,10.022935779816514,436
4212403,Pedras Grandes,Santa Catarina,fixed,2024,1,211.09278899082568,133.21422018348625,4.1192660550458715,109
4212502,Penha,Santa Catarina,fixed,2024,1,144.65294903339193,83.61816414762741,5.657996485061512,2845
4212601,Peritiba,Santa Catarina,fixed,2024,1,45.39725531914893,37.69040425531915,6.297872340425532,47
4212650,Pescaria Brava,Santa Catarina,fixed,2024,1,164.4047119205298,103.28996688741722,3.6357615894039736,302
4212700,Petrolândia,Santa Catarina,fixed,2024,1,139.6656043478261,104.73625217391306,10.104347826086956,230
4212809,Balneário Piçarras,Santa Catarina,fixed,2024,1,151.15963261050877,85.64796788990826,6.19557964970809,2398
4212908,Pinhalzinho,Santa Catarina,fixed,2024,1,181.39013084922013,118.6290155979203,6.070190641247834,1154
4213005,Pinheiro Preto,Santa Catarina,fixed,2024,1,132.97287654320985,140.35383950617285,8.45679012345679,81
4213104,Piratuba,Santa Catarina,fixed,2024,1,79.07258823529412,65.88118266253869,16.23219814241486,323
4213153,Planalto Alegre,Santa Catarina,fixed,2024,1,65.90132653061224,135.327306122449,4.020408163265306,49
4213203,Pomerode,Santa Catarina,fixed,2024,1,179.50223236994216,113.98135086705203,6.405202312138728,1730
4213302,Ponte Alta,Santa Catarina,fixed,2024,1,108.78611526479749,115.75282866043612,15.255451713395638,321
4213351,Ponte Alta do Norte,Santa Catarina,fixed,2024,1,166.1787692307692,162.16638461538463,3.730769230769231,26
4213401,Ponte Serrada,Santa Catarina,fixed,2024,1,225.06350943396228,169.16716226415093,8.89056603773585,265
4213500,Porto Belo,Santa Catarina,fixed,2024,1,194.06943531044053,143.0524179673951,4.184876864377385,2883
4213609,Porto União,Santa Catarina,fixed,2024,1,161.1481062906724,136.00942407809112,6.206616052060737,1844
4213708,Pouso Redondo,Santa Catarina,fixed,2024,1,144.99610643889616,122.43929434954008,8.135348226018397,761
4213807,Praia Grande,Santa Catarina,fixed,2024,1,154.62791484184916,112.26414841849147,5.299270072992701,411
4213906,Presidente Castello Branco,Santa Catarina,fixed,2024,1,23.549761904761905,23.240047619047616,26.80952380952381,21
4214003,Presidente Getúlio,Santa Catarina,fixed,2024,1,94.79574645390072,61.40543794326241,16.570921985815602,564
4214102,Presidente Nereu,Santa Catarina,fixed,2024,1,182.97177298850573,164.0887298850575,210.7183908045977,348
4214151,Princesa,Santa Catarina,fixed,2024,1,288.39293749999996,203.44859375000001,5.375,32
4214201,Quilombo,Santa Catarina,fixed,2024,1,91.85408561643834,93.02461986301371,6.607020547945205,1168
4214300,Rancho Queimado,Santa Catarina,fixed,2024,1,124.56371666666668,94.70055833333335,9.197916666666666,480
4214409,Rio das Antas,Santa Catarina,fixed,2024,1,86.79105882352943,83.63927450980391,8.49673202614379,153
4214508,Rio do Campo,Santa Catarina,fixed,2024,1,80.74905417956658,83.28517182662539,8.442724458204335,646
4214607,Rio do Oeste,Santa Catarina,fixed,2024,1,98.68465552699229,75.02617994858612,14.41388174807198,389
4214706,Rio dos Cedros,Santa Catarina,fixed,2024,1,66.65162450592885,37.73856126482214,29.25296442687747,253
4214805,Rio do Sul,Santa Catarina,fixed,2024,1,195.643369078105,148.0425947503201,7.052176696542894,3124
4214904,Rio Fortuna,Santa Catarina,fixed,2024,1,195.73787292817678,80.94426243093923,7.267955801104972,362
4215000,Rio Negrinho,Santa Catarina,fixed,2024,1,174.27571758241757,133.13462747252748,12.394505494505495,910
4215059,Rio Rufino,Santa Catarina,fixed,2024,1,87.52474774774775,56.84261261261262,29.07207207207207,111
4215075,Riqueza,Santa Catarina,fixed,2024,1,127.68400392156862,66.19209411764706,13.913725490196079,255
4215109,Rodeio,Santa Catarina,fixed,2024,1,193.02073186119873,110.27780441640378,3.454258675078864,317
4215208,Romelândia,Santa Catarina,fixed,2024,1,36.076734375,34.60104687500001,10.328125,64
4215307,Salete,Santa Catarina,fixed,2024,1,133.68126779661014,120.56713220338985,7.379661016949153,295
4215356,Saltinho,Santa Catarina,fixed,2024,1,17.72970358306189,12.024848534201956,31.131921824104236,614
4215406,Salto Veloso,Santa Catarina,fixed,2024,1,84.90606425702812,71.48754618473895,6.110441767068273,498
4215455,Sangão,Santa Catarina,fixed,2024,1,250.96039252336448,211.5066214953271,3.364485981308411,214
4215505,Santa Cecília,Santa Catarina,fixed,2024,1,192.00362907268172,170.10777694235588,14.390977443609023,399
4215554,Santa Helena,Santa Catarina,fixed,2024,1,5.371,2.351,66.0,2
4215604,Santa Rosa de Lima,Santa Catarina,fixed,2024,1,126.52056976744187,50.32143023255814,7.5813953488372094,86
4215653,Santa Rosa do Sul,Santa Catarina,fixed,2024,1,193.570835443038,144.56405379746838,3.3544303797468356,316
4215679,Santa Terezinha,Santa Catarina,fixed,2024,1,70.15581276595744,66.90645531914895,9.587234042553192,235
4215687,Santa Terezinha do Progresso,Santa Catarina,fixed,2024,1,57.28372413793104,37.81119540229884,19.413793103448278,87
