state_code,state_name,service_type,year,quarter,avg_d_Mbps,avg_u_Mbps,avg_lat_ms,tests
43,Rio Grande do Sul,fixed,2025,1,236.55168390716847,150.638957556948,9.9486220322162,340574
50,Mato Grosso do Sul,fixed,2025,1,220.3871249046382,150.728695085411,15.80789430040356,90445
51,Mato Grosso,fixed,2025,1,224.10697238660688,145.173124836557,15.91310159132953,103247
52,Goiás,fixed,2025,1,256.52565998790914,164.33884221435358,11.364845121916112,277896
53,Distrito Federal,fixed,2025,1,308.5621630587523,174.2587453543307,8.405614778921866,165100
11,Rondônia,fixed,2025,2,240.08534463419247,163.8220550759342,12.397819648371037,47607
12,Acre,fixed,2025,2,260.4885696702938,169.9078703182948,15.690467457309369,24537
13,Amazonas,fixed,2025,2,225.36248253472368,118.62819071220498,32.18199012116351,118435
14,Roraima,fixed,2025,2,202.62387762745553,130.87405365741802,38.67132920583964,13083
15,Pará,fixed,2025,2,217.6210839754059,153.00658754923626,15.5654193486406,208180
16,Amapá,fixed,2025,2,223.5640991964286,175.23757375,18.12607142857143,11200
17,Tocantins,fixed,2025,2,223.02628270338215,143.33091399923995,15.89558303370458,34209
21,Maranhão,fixed,2025,2,228.87944454804526,160.75144381262558,12.478475842777785,152294
22,Piauí,fixed,2025,2,207.78401398450328,149.83966654664863,10.03005732062102,69434
23,Ceará,fixed,2025,2,195.9713082455982,145.0659543877609,7.24743485519101,298911
24,Rio Grande do Norte,fixed,2025,2,208.50245079846553,138.79716702487448,7.913689486532737,123299
25,Paraíba,fixed,2025,2,182.06479580625324,120.5374508818005,10.759079802529879,120322
26,Pernambuco,fixed,2025,2,194.5011919555584,139.07292685073182,10.162499785015278,348862
27,Alagoas,fixed,2025,2,198.61369534809455,132.61850837768787,10.567990206514796,93940
28,Sergipe,fixed,2025,2,222.46997598167738,137.6743935147515,8.858587228400085,66366
29,Bahia,fixed,2025,2,183.46110953577985,127.52753849868523,8.93577323168009,604670
31,Minas Gerais,fixed,2025,2,239.50180657286901,156.3430825565009,12.603440921799287,663485
32,Espírito Santo,fixed,2025,2,231.5796908815913,146.43951368486987,12.775259527465224,130911
33,Rio de Janeiro,fixed,2025,2,244.17890147699669,141.2701687623743,9.095795817899868,801559
35,São Paulo,fixed,2025,2,260.2887589250679,154.98307359964426,9.40524442016883,2028556
41,Paraná,fixed,2025,2,242.16421251463214,164.96786862485177,9.198442599440297,515988
42,Santa Catarina,fixed,2025,2,265.80229996727985,161.20442305847374,9.164731520278535,314791
43,Rio Grande do Sul,fixed,2025,2,247.9282744660133,157.55534473086294,9.08255054040568,412838
50,Mato Grosso do Sul,fixed,2025,2,233.07161856771742,154.41185922213828,16.607209315179542,108554
51,Mato Grosso,fixed,2025,2,235.31972351779712,145.51853646583774,15.462333457850828,112434
52,Goiás,fixed,2025,2,273.6846299633105,172.69332932028533,11.315338003681735,312896
53,Distrito Federal,fixed,2025,2,326.1298475682054,178.7656712667079,8.675963145687895,172897
11,Rondônia,fixed,2025,3,251.13490236820272,171.1019788445584,10.848574553133721,53036
12,Acre,fixed,2025,3,271.39860464136797,171.99044589984416,16.254643473865983,23743
13,Amazonas,fixed,2025,3,243.72601536447732,130.54569526454836,30.72664000830081,125289
14,Roraima,fixed,2025,3,222.5088731911653,147.45821122112207,31.88937547600914,15756
15,Pará,fixed,2025,3,232.04298374934683,160.75069150124398,15.90634542465018,208607
16,Amapá,fixed,2025,3,239.9997525462397,182.95352098101523,19.184632934082945,12273
17,Tocantins,fixed,2025,3,246.25961904898642,159.05816174697063,14.856342962154711,34826
21,Maranhão,fixed,2025,3,254.51748147650923,178.2779572185676,10.952136194805112,156423
22,Piauí,fixed,2025,3,221.51055967900805,161.66589173764413,10.283388377078627,69036
23,Ceará,fixed,2025,3,214.1725895828631,157.10462095191195,7.1661981656646905,292422
